juego;orden_sorteo;temporada_o_anyo;fecha_sorteo;nombre;lugar;dia_semana;hora;bote_promocional;combinacion_ordenada;combinacion_salida;reintegro;complementario;pleno15;estrellas;caballos;primer_premio;serie;fraccion;segundo_premio;bote_real;total_premios;recaudacion;apuestas;cat_1;acertantes_1;premio_1;cat_2;acertantes_2;premio_2;cat_3;acertantes_3;premio_3;cat_4;acertantes_4;premio_4;cat_5;acertantes_5;premio_5;cat_6;acertantes_6;premio_6;cat_7;acertantes_7;premio_7;cat_8;acertantes_8;premio_8;cat_9;acertantes_9;premio_9;cat_10;acertantes_10;premio_10;cat_11;acertantes_11;premio_11;cat_12;acertantes_12;premio_12;cat_13;acertantes_13;premio_13;
Euromillions;70;2011;04/11/2011;;;Friday;00:00;0;11 14 41 43 50;41 50 11 43 14;;;;9 2;;;;;;45.000.000;9.222.076;18.444.152;9.222.076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;69;2011;01/11/2011;;;Tuesday;00:00;0;14 20 23 45 46;20 45 23 14 46;;;;1 11;;;;;;33.000.000;4.770.993;9.541.986;4.770.993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;68;2011;28/10/2011;;;Friday;00:00;0;16 17 20 39 50;39 16 20 17 50;;;;4 8;;;;;;26.000.000;8.653.134;17.306.268;8.653.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;67;2011;25/10/2011;;;Tuesday;00:00;0;12 22 27 28 39;39 28 22 12 27;;;;4 10;;;;;;15.000.000;5.342.983;10.685.966;5.342.983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;66;2011;21/10/2011;;;Friday;00:00;0;2 19 33 37 46;37 19 2 33 46;;;;5 8;;;;;;47.000.000;8.912.235;17.824.470;8.912.235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;65;2011;18/10/2011;;;Tuesday;00:00;0;18 23 37 46 48;46 18 37 48 23;;;;2 10;;;;;;34.000.000;5.985.475;11.970.950;5.985.475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;64;2011;14/10/2011;;;Friday;00:00;0;12 23 29 32 47;47 23 12 29 32;;;;3 5;;;;;;27.000.000;8.570.436;17.140.872;8.570.436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;63;2011;11/10/2011;;;Tuesday;00:00;0;1 4 12 16 48;12 16 4 1 48;;;;9 10;;;;;;15.000.000;5.967.792;11.935.584;5.967.792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;62;2011;07/10/2011;;;Friday;00:00;0;18 26 34 38 42;42 34 18 38 26;;;;8 5;;;;;;119.000.000;10.965.958;21.931.916;10.965.958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;61;2011;04/10/2011;;;Tuesday;00:00;0;14 16 23 38 45;14 16 23 45 38;;;;8 11;;;;;;100.000.000;8.562.963;17.125.926;8.562.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
